goos: darwin
goarch: arm64
pkg: github.com/bakhod1r/cachex/bench
cpu: Apple M1
BenchmarkParallelGetHit/cachex-8         	11191184	        70.23 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 9091236	        63.09 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 8830747	        65.24 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 8835536	        66.10 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 9028626	        66.67 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 9281926	        74.70 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 8672995	        66.76 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 8910184	        66.46 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 8842536	        65.99 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/cachex-8         	 8476501	        65.72 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1816236	       298.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1920176	       312.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1922598	       309.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1991472	       305.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 2024569	       304.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 2003670	       307.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1985432	       314.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1946226	       309.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1974770	       309.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/hashicorp-lru-8  	 1974534	       306.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	20286946	        33.84 ns/op	       1 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	19209424	        36.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	20768371	        47.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	15294237	        33.68 ns/op	       1 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	15659032	        36.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	18926299	        34.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	23161923	        33.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	22674093	        36.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	20513580	        49.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/ristretto-8      	19992502	        38.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	28282598	        22.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	25704830	        24.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	26613291	        22.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	24460467	        24.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	28561680	        27.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	23218989	        29.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	31126117	        22.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	31589337	        25.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	22618286	        26.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/otter-8          	25905104	        26.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	14777050	        38.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	17943589	        39.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	16454265	        33.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	15041238	        36.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	16951346	        36.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	16589325	        35.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	16709774	        38.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	17285835	        38.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	17249268	        36.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/theine-8         	17978695	        36.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9655363	        66.13 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9719445	        66.56 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9546247	        69.12 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 8182942	        75.06 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9484710	        67.52 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9560774	        67.64 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9169958	        67.21 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9659456	        66.63 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9874557	        65.73 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/bigcache-8       	 9760938	        67.30 ns/op	      72 B/op	       2 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5799933	       104.8 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5817548	       105.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5736654	       112.0 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5943694	       110.0 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 6049809	       106.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5740096	       105.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5634933	       105.5 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5940079	       106.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5973247	       109.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/freecache-8      	 5583252	       107.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 4467423	       116.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5134638	       115.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5156288	       118.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 4766185	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5067972	       116.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5178462	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5219306	       124.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 4998553	       115.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5206356	       116.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHit/go-cache-8       	 5172112	       118.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 6246184	       118.8 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5371924	       116.4 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5330040	       119.9 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 4863087	       119.5 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5339786	       118.1 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5259771	       120.0 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5073458	       127.3 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5029228	       125.6 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 4706661	       118.0 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/cachex-8      	 5486852	       115.4 ns/op	      60 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1377073	       403.8 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1440588	       414.8 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1444459	       419.3 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1409427	       424.1 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1440426	       418.3 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1444052	       413.9 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1419885	       417.7 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1460773	       424.3 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1405948	       425.5 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/hashicorp-lru-8         	 1454846	       414.1 ns/op	       2 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 4813605	       151.2 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3964464	       149.6 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3897126	       150.5 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 4111359	       156.6 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3969912	       152.8 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3958680	       151.8 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3912600	       151.6 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3916582	       149.3 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3962038	       157.8 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/ristretto-8             	 3991921	       154.1 ns/op	      17 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/otter-8                 	 8304996	        81.31 ns/op	       6 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/otter-8                 	 8055948	        71.27 ns/op	       6 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/otter-8                 	 8329177	        75.37 ns/op	       6 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/otter-8                 	 8078550	        74.75 ns/op	       6 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/otter-8                 	 8103294	        70.18 ns/op	       6 B/op	       0 allocs/op
